,pdbid,predicted,real,set
104,1hfs,9.321068,8.7,CASF2013
105,2jdu,6.954317,6.72,CASF2013
106,3vd4,4.0734477,4.82,CASF2013
107,3nox,8.124915,8.66,CASF2013
108,3e93,8.542811,8.85,CASF2013
109,3myg,7.680474,10.7,CASF2013
110,4des,6.614891,5.85,CASF2013
111,3f3c,5.153329,6.02,CASF2013
112,1hnn,6.303396,6.24,CASF2013
113,1n1m,6.414474,5.7,CASF2013
114,2jdy,7.107745,4.37,CASF2013
115,3mfv,4.440543,2.52,CASF2013
116,4g8m,6.848653,7.89,CASF2013
117,3f3e,5.723407,7.7,CASF2013
118,2yge,5.6700416,5.06,CASF2013
119,1sqa,7.826958,9.21,CASF2013
120,3su3,6.996632,9.13,CASF2013
121,2j62,10.075352,11.34,CASF2013
122,3pe2,8.211681,9.76,CASF2013
123,2jdm,6.4404054,5.4,CASF2013
124,2qbr,5.817115,6.33,CASF2013
125,2cbj,8.702303,8.27,CASF2013
126,1mq6,9.559355,11.15,CASF2013
127,1f8c,5.5755153,7.4,CASF2013
128,3kwa,6.949842,4.08,CASF2013
129,1e66,8.625787,9.89,CASF2013
130,3f3a,5.2474365,4.19,CASF2013
131,3nq3,4.8418727,3.78,CASF2013
132,2pcp,9.570778,8.7,CASF2013
133,2ymd,6.585133,3.16,CASF2013
134,2zwz,7.5346756,7.79,CASF2013
135,1u1b,6.7515326,7.8,CASF2013
136,2zjw,6.8262167,7.7,CASF2013
137,3uo4,6.847898,6.52,CASF2013
138,2qbp,7.234472,8.4,CASF2013
139,3oe5,7.1152215,6.88,CASF2013
140,2x0y,6.1523557,4.6,CASF2013
141,2y5h,7.837083,5.79,CASF2013
142,3gcs,9.061673,7.25,CASF2013
143,2vvn,8.401569,7.3,CASF2013
144,1ps3,5.66392,2.28,CASF2013
145,2iwx,6.4201164,6.68,CASF2013
146,2gss,5.4172716,4.94,CASF2013
147,1r5y,5.9205947,6.46,CASF2013
148,3udh,4.096266,2.85,CASF2013
149,3zso,4.6167383,5.12,CASF2013
150,3cyx,9.521514,8.0,CASF2013
151,4djv,6.278271,6.72,CASF2013
152,3ejr,6.789731,8.57,CASF2013
153,3i3b,2.834045,2.23,CASF2013
154,1oyt,8.364723,7.24,CASF2013
155,3gnw,8.39371,9.1,CASF2013
156,3bkk,8.539685,6.08,CASF2013
157,2xhm,5.997115,6.8,CASF2013
158,1vso,6.02298,4.72,CASF2013
159,1lbk,5.983892,3.18,CASF2013
160,3zsx,3.9921649,3.28,CASF2013
161,1nvq,8.981913,8.25,CASF2013
162,3l4w,6.0384226,6.0,CASF2013
163,4de2,5.086457,4.12,CASF2013
164,4gid,8.902871,10.77,CASF2013
165,2fvd,7.3549485,8.52,CASF2013
166,3k5v,7.107271,6.3,CASF2013
167,3ebp,5.7906313,5.91,CASF2013
168,3gbb,7.7908688,6.9,CASF2013
169,3fk1,4.770786,2.62,CASF2013
170,3ag9,8.965718,8.05,CASF2013
171,2w66,6.5267353,4.05,CASF2013
172,3f80,4.632791,4.22,CASF2013
173,4gqq,2.8310044,2.89,CASF2013
174,2x8z,5.0305605,7.96,CASF2013
175,3huc,7.4216113,5.99,CASF2013
176,3g2z,2.3268816,2.36,CASF2013
177,3bfu,6.641206,6.27,CASF2013
178,3owj,6.843754,6.07,CASF2013
179,3nw9,8.20311,9.0,CASF2013
180,3b68,9.014361,8.4,CASF2013
181,2v00,3.7923942,3.66,CASF2013
