,pdbid,predicted,real,set
98,2xnb,6.472949,6.83,CASF2016
99,3g0w,9.105421,9.52,CASF2016
100,2vw5,6.706528,8.52,CASF2016
101,3g2n,5.074948,4.09,CASF2016
102,2j78,5.8420157,6.42,CASF2016
103,2xbv,9.050685,8.43,CASF2016
104,4kzq,5.821818,6.1,CASF2016
105,3dx1,5.5260024,3.58,CASF2016
106,2wnc,5.8864837,6.32,CASF2016
107,3d6q,4.323678,3.76,CASF2016
108,1qf1,7.676876,7.32,CASF2016
109,2yki,7.7086115,9.46,CASF2016
110,3f3d,3.880819,7.16,CASF2016
111,2p4y,7.5814433,9.0,CASF2016
112,5c28,5.870974,5.66,CASF2016
113,3wtj,7.185988,6.53,CASF2016
114,4de1,5.438552,5.96,CASF2016
115,2wer,6.854971,7.05,CASF2016
116,3lka,6.111218,2.82,CASF2016
117,4cr9,4.783001,4.1,CASF2016
118,4e6q,7.5622654,8.36,CASF2016
119,3pww,7.217451,7.32,CASF2016
120,4mme,6.0823984,6.5,CASF2016
121,2xdl,5.305438,3.1,CASF2016
122,4agq,5.6667247,5.01,CASF2016
123,2hb1,3.8493805,3.8,CASF2016
124,4k77,6.4177084,6.63,CASF2016
125,2br1,7.5120707,5.14,CASF2016
126,4dli,5.904773,5.62,CASF2016
127,3ge7,7.7298074,8.7,CASF2016
128,3ehy,6.603973,5.85,CASF2016
129,3uew,5.5146494,6.31,CASF2016
130,2zda,7.4049835,8.4,CASF2016
131,1yc1,7.338732,6.17,CASF2016
132,3pyy,6.8025484,6.86,CASF2016
133,2weg,5.830089,6.5,CASF2016
134,3jvs,6.87314,6.54,CASF2016
135,3fv1,9.252427,9.3,CASF2016
136,4ogj,6.5776086,6.79,CASF2016
137,3ary,4.9618115,6.0,CASF2016
138,3ozt,7.4045887,4.13,CASF2016
139,4w9i,5.5936728,5.96,CASF2016
140,2cet,8.350177,8.02,CASF2016
141,3p5o,6.9881134,7.26,CASF2016
142,1q8u,6.3688345,5.96,CASF2016
143,3jvr,6.6553984,5.72,CASF2016
144,1qkt,7.94736,9.04,CASF2016
145,3ivg,5.594679,4.3,CASF2016
146,1p1q,7.614126,4.89,CASF2016
147,4kzu,6.629526,6.5,CASF2016
148,3b27,6.0166035,5.16,CASF2016
149,4ivb,8.767299,8.72,CASF2016
150,1h23,8.935736,8.35,CASF2016
151,2zcq,7.782457,8.82,CASF2016
152,2yfe,5.953878,6.63,CASF2016
153,4ddh,4.446206,3.3,CASF2016
154,4abg,5.167899,3.57,CASF2016
155,1ydr,5.7008853,5.52,CASF2016
156,3qgy,7.652043,7.8,CASF2016
157,3dx2,6.097636,6.82,CASF2016
158,3cj4,6.280342,6.51,CASF2016
159,3nq9,4.6524377,4.03,CASF2016
160,1gpn,6.6363955,6.48,CASF2016
161,1pxn,7.074079,7.15,CASF2016
162,4f3c,10.843916,11.82,CASF2016
163,4cra,6.9813867,7.22,CASF2016
164,3e93,8.424689,8.85,CASF2016
165,3myg,7.6571417,10.7,CASF2016
166,3f3c,5.161415,6.02,CASF2016
167,4ih7,4.8989763,5.24,CASF2016
168,1c5z,4.63059,4.01,CASF2016
169,4kz6,5.430682,3.1,CASF2016
170,3ozs,6.3872237,5.33,CASF2016
171,3oe4,6.6954317,7.47,CASF2016
172,4qd6,7.195034,8.64,CASF2016
173,3e92,8.60635,8.0,CASF2016
174,3f3e,5.679805,7.7,CASF2016
175,2yge,5.690561,5.06,CASF2016
176,1sqa,7.870795,9.21,CASF2016
177,3syr,5.113939,5.1,CASF2016
178,3ui7,7.545108,9.0,CASF2016
179,4jia,7.647765,9.22,CASF2016
180,4eor,6.466458,6.3,CASF2016
181,2qbr,5.598123,6.33,CASF2016
182,4j3l,8.0074835,7.8,CASF2016
183,1mq6,9.805546,11.15,CASF2016
184,5dwr,8.790545,11.22,CASF2016
185,3qqs,5.247631,5.82,CASF2016
186,4crc,7.691658,8.72,CASF2016
187,3kwa,6.9360104,4.08,CASF2016
188,1e66,8.387894,9.89,CASF2016
189,3f3a,5.1956005,4.19,CASF2016
190,5c2h,9.229357,11.09,CASF2016
191,3uuo,6.889678,7.96,CASF2016
192,3gc5,6.8612328,7.26,CASF2016
193,1p1n,6.585259,6.8,CASF2016
194,2ymd,6.4441094,3.16,CASF2016
195,2cbv,5.9245715,5.48,CASF2016
196,3b1m,7.302328,8.48,CASF2016
197,4jfs,6.3383656,5.27,CASF2016
198,3jya,6.046906,6.89,CASF2016
199,3rlr,8.426747,7.52,CASF2016
200,1u1b,6.7119575,7.8,CASF2016
201,3prs,7.503196,7.82,CASF2016
202,2p15,9.487678,10.3,CASF2016
203,3uo4,6.8108616,6.52,CASF2016
204,5aba,4.167124,2.98,CASF2016
205,4lzs,4.060424,4.8,CASF2016
206,2qbp,7.1861806,8.4,CASF2016
207,3oe5,7.1367216,6.88,CASF2016
208,1o0h,5.3373775,5.92,CASF2016
209,2y5h,8.013339,5.79,CASF2016
210,2r9w,5.404968,5.1,CASF2016
211,2pog,8.121751,9.54,CASF2016
212,2vvn,8.318853,7.3,CASF2016
213,4e5w,8.525715,7.66,CASF2016
214,3arp,7.8200073,7.15,CASF2016
215,4ivc,8.895858,10.0,CASF2016
216,1ps3,5.279791,2.28,CASF2016
217,5a7b,5.7808805,3.57,CASF2016
218,2iwx,6.288618,6.68,CASF2016
219,1r5y,5.9233193,6.46,CASF2016
220,3udh,4.1474495,2.85,CASF2016
221,1nc1,8.658423,6.12,CASF2016
222,4de3,5.2822695,5.52,CASF2016
223,3zso,4.5359216,5.12,CASF2016
224,4ivd,8.819019,9.52,CASF2016
225,4djv,6.449118,6.72,CASF2016
226,3ejr,6.5497165,8.57,CASF2016
227,4agp,5.413448,4.69,CASF2016
228,4w9h,6.1680045,6.73,CASF2016
229,3o9i,11.296366,11.82,CASF2016
230,1eby,9.206432,9.7,CASF2016
231,2qnq,7.3421564,6.11,CASF2016
232,1oyt,8.336952,7.24,CASF2016
233,3gnw,8.417572,9.1,CASF2016
234,4j21,7.696507,7.41,CASF2016
235,1vso,6.408209,4.72,CASF2016
236,4pcs,6.9226027,7.85,CASF2016
237,3zsx,4.0846024,3.28,CASF2016
238,4jsz,5.7970057,2.3,CASF2016
239,1nvq,9.105703,8.25,CASF2016
240,1bzc,6.3932323,4.92,CASF2016
241,4de2,5.130323,4.12,CASF2016
242,4gid,8.808384,10.77,CASF2016
243,3uev,5.176067,5.89,CASF2016
244,2fvd,7.2123456,8.52,CASF2016
245,4gkm,5.3273163,5.17,CASF2016
246,3k5v,7.0743895,6.3,CASF2016
247,3ebp,5.6051426,5.91,CASF2016
248,3gbb,7.9746885,6.9,CASF2016
249,2w66,6.241531,4.05,CASF2016
250,2fxs,6.895433,6.06,CASF2016
251,3r88,4.4383955,4.82,CASF2016
252,3rr4,6.938638,4.55,CASF2016
253,2vkm,8.722074,8.74,CASF2016
254,4agn,4.133724,3.97,CASF2016
255,3kr8,7.629458,8.1,CASF2016
256,4qac,8.526395,9.4,CASF2016
257,4owm,4.37395,2.96,CASF2016
258,3arq,7.2027197,6.4,CASF2016
259,2zb1,8.095911,6.32,CASF2016
260,3g2z,2.369042,2.36,CASF2016
261,4hge,8.157289,7.92,CASF2016
262,4twp,7.925734,10.0,CASF2016
263,2w4x,5.0800576,4.85,CASF2016
264,3wz8,6.133116,5.82,CASF2016
265,3fv2,8.00246,8.11,CASF2016
266,1lpg,8.82911,7.09,CASF2016
267,3nw9,8.186642,9.0,CASF2016
268,4llx,4.961142,2.89,CASF2016
269,4eo8,7.3556833,8.15,CASF2016
270,3nx7,6.4514184,8.1,CASF2016
271,1y6r,11.784555,10.11,CASF2016
272,4ty7,8.891979,9.52,CASF2016
273,3b68,9.147251,8.4,CASF2016
274,2al5,6.924561,8.4,CASF2016
275,2qe4,8.305407,7.96,CASF2016
276,4x6p,8.836991,8.3,CASF2016
277,2v00,3.793033,3.66,CASF2016
278,3zt2,3.272917,2.84,CASF2016
