,pdbid,predicted,real,set
65,1z95,9.0818205,7.12,CASF2016
66,2brb,5.6718006,4.86,CASF2016
67,4jxs,5.93472,4.74,CASF2016
68,3pxf,5.0282707,4.43,CASF2016
69,2wn9,6.723784,8.52,CASF2016
70,4k18,7.581079,8.96,CASF2016
71,3tsk,9.187526,7.17,CASF2016
72,3u8k,7.6321287,8.66,CASF2016
73,3u5j,5.616393,5.61,CASF2016
74,4rfm,8.026039,10.05,CASF2016
75,4eky,4.767561,3.52,CASF2016
76,4f2w,11.38242,11.3,CASF2016
77,1gpk,6.9555683,5.37,CASF2016
78,4w9c,5.891181,4.65,CASF2016
79,4w9l,7.8131065,5.02,CASF2016
80,1ydt,7.308008,7.32,CASF2016
81,3twp,4.09297,3.92,CASF2016
82,1o5b,5.151899,5.77,CASF2016
83,1h22,8.786457,9.1,CASF2016
84,3g31,2.1671555,2.89,CASF2016
85,2wtv,8.028962,8.74,CASF2016
86,2j7h,8.102814,7.19,CASF2016
87,3utu,8.479639,10.92,CASF2016
88,4cig,4.6905174,3.67,CASF2016
89,3bgz,6.861213,6.26,CASF2016
90,3e5a,7.1990695,8.23,CASF2016
91,3uex,4.850048,6.92,CASF2016
92,1z9g,6.243276,5.64,CASF2016
93,3n76,7.2979302,6.85,CASF2016
94,4gr0,8.945664,9.55,CASF2016
95,4m0y,7.211816,6.46,CASF2016
96,4ea2,7.1862507,6.44,CASF2016
97,4gfm,7.063472,7.22,CASF2016
98,2xnb,6.945076,6.83,CASF2016
99,3g0w,9.895904,9.52,CASF2016
100,2vw5,6.6137,8.52,CASF2016
101,3g2n,5.1205435,4.09,CASF2016
102,2j78,6.0392084,6.42,CASF2016
103,2xbv,8.6629715,8.43,CASF2016
104,4kzq,6.0453386,6.1,CASF2016
105,3dx1,5.5161543,3.58,CASF2016
106,2wnc,6.0157013,6.32,CASF2016
107,3d6q,4.043927,3.76,CASF2016
108,1qf1,7.3337364,7.32,CASF2016
109,2yki,7.76092,9.46,CASF2016
110,3f3d,4.741863,7.16,CASF2016
111,2p4y,7.4209847,9.0,CASF2016
112,5c28,5.3185434,5.66,CASF2016
113,3wtj,7.657822,6.53,CASF2016
114,4de1,6.062074,5.96,CASF2016
115,2wer,6.9030504,7.05,CASF2016
116,3lka,5.8686166,2.82,CASF2016
117,4cr9,4.0882,4.1,CASF2016
118,4e6q,7.432288,8.36,CASF2016
119,3pww,7.4612885,7.32,CASF2016
120,4mme,6.673581,6.5,CASF2016
121,2xdl,5.2673235,3.1,CASF2016
122,4agq,6.2499557,5.01,CASF2016
123,2hb1,4.537663,3.8,CASF2016
124,4k77,7.754021,6.63,CASF2016
125,2br1,6.5763483,5.14,CASF2016
126,4dli,5.2252407,5.62,CASF2016
127,3ge7,8.652414,8.7,CASF2016
128,3ehy,6.244236,5.85,CASF2016
129,3uew,5.432606,6.31,CASF2016
130,2zda,7.045813,8.4,CASF2016
131,1yc1,6.8486257,6.17,CASF2016
132,3pyy,6.977537,6.86,CASF2016
133,2weg,7.0289845,6.5,CASF2016
134,3jvs,6.3597007,6.54,CASF2016
135,3fv1,9.099902,9.3,CASF2016
136,4ogj,6.630616,6.79,CASF2016
137,3ary,5.1483927,6.0,CASF2016
138,3ozt,5.9394264,4.13,CASF2016
139,4w9i,5.434996,5.96,CASF2016
140,2cet,7.195097,8.02,CASF2016
141,3p5o,7.0988,7.26,CASF2016
142,1q8u,6.4960756,5.96,CASF2016
143,3jvr,6.4114113,5.72,CASF2016
144,1qkt,8.491932,9.04,CASF2016
145,3ivg,6.4116254,4.3,CASF2016
146,1p1q,7.4888825,4.89,CASF2016
147,4kzu,6.723085,6.5,CASF2016
148,3b27,6.1498685,5.16,CASF2016
149,4ivb,8.755188,8.72,CASF2016
150,1h23,8.980789,8.35,CASF2016
151,2zcq,7.535572,8.82,CASF2016
152,2yfe,6.043321,6.63,CASF2016
153,4ddh,3.733978,3.3,CASF2016
154,4abg,4.1945224,3.57,CASF2016
155,1ydr,6.3915977,5.52,CASF2016
156,3qgy,8.480215,7.8,CASF2016
157,3dx2,6.3114624,6.82,CASF2016
158,3cj4,5.8415823,6.51,CASF2016
159,3nq9,5.0372486,4.03,CASF2016
160,1gpn,5.927021,6.48,CASF2016
161,1pxn,7.2849827,7.15,CASF2016
162,4f3c,11.25715,11.82,CASF2016
163,4cra,7.4602838,7.22,CASF2016
164,3e93,8.238834,8.85,CASF2016
165,3myg,7.8603773,10.7,CASF2016
166,3f3c,5.990077,6.02,CASF2016
167,4ih7,5.3143415,5.24,CASF2016
168,1c5z,4.823383,4.01,CASF2016
169,4kz6,5.059547,3.1,CASF2016
170,3ozs,5.978874,5.33,CASF2016
171,3oe4,5.152959,7.47,CASF2016
172,4qd6,7.110474,8.64,CASF2016
173,3e92,8.482478,8.0,CASF2016
174,3f3e,5.7601104,7.7,CASF2016
175,2yge,6.6618586,5.06,CASF2016
176,1sqa,7.6729765,9.21,CASF2016
177,3syr,5.6582675,5.1,CASF2016
178,3ui7,7.164934,9.0,CASF2016
179,4jia,7.338146,9.22,CASF2016
180,4eor,6.5669556,6.3,CASF2016
181,2qbr,6.042951,6.33,CASF2016
182,4j3l,7.582161,7.8,CASF2016
183,1mq6,9.836435,11.15,CASF2016
184,5dwr,9.072581,11.22,CASF2016
185,3qqs,5.8479953,5.82,CASF2016
186,4crc,8.15377,8.72,CASF2016
187,3kwa,6.850706,4.08,CASF2016
188,1e66,8.225612,9.89,CASF2016
189,3f3a,5.417916,4.19,CASF2016
190,5c2h,8.984861,11.09,CASF2016
191,3uuo,6.554731,7.96,CASF2016
192,3gc5,7.161607,7.26,CASF2016
193,1p1n,5.7570415,6.8,CASF2016
194,2ymd,5.9151115,3.16,CASF2016
195,2cbv,5.727593,5.48,CASF2016
196,3b1m,7.4147077,8.48,CASF2016
197,4jfs,7.0154867,5.27,CASF2016
198,3jya,5.87543,6.89,CASF2016
199,3rlr,7.802786,7.52,CASF2016
200,1u1b,5.917739,7.8,CASF2016
201,3prs,7.64297,7.82,CASF2016
202,2p15,9.675158,10.3,CASF2016
203,3uo4,6.750923,6.52,CASF2016
204,5aba,3.8944812,2.98,CASF2016
205,4lzs,3.9760132,4.8,CASF2016
206,2qbp,6.7460318,8.4,CASF2016
207,3oe5,6.319889,6.88,CASF2016
208,1o0h,5.2617226,5.92,CASF2016
209,2y5h,7.646404,5.79,CASF2016
210,2r9w,5.6275005,5.1,CASF2016
211,2pog,8.900507,9.54,CASF2016
212,2vvn,6.4665356,7.3,CASF2016
213,4e5w,8.118731,7.66,CASF2016
214,3arp,7.348715,7.15,CASF2016
215,4ivc,9.185635,10.0,CASF2016
216,1ps3,6.3293815,2.28,CASF2016
217,5a7b,6.598551,3.57,CASF2016
218,2iwx,5.714923,6.68,CASF2016
219,1r5y,6.2850513,6.46,CASF2016
220,3udh,4.400045,2.85,CASF2016
221,1nc1,8.521958,6.12,CASF2016
222,4de3,5.915757,5.52,CASF2016
223,3zso,4.8585076,5.12,CASF2016
224,4ivd,8.898243,9.52,CASF2016
225,4djv,6.5876274,6.72,CASF2016
226,3ejr,7.0368752,8.57,CASF2016
227,4agp,5.7354174,4.69,CASF2016
228,4w9h,7.2714458,6.73,CASF2016
229,3o9i,10.814813,11.82,CASF2016
230,1eby,10.385983,9.7,CASF2016
231,2qnq,6.9885993,6.11,CASF2016
232,1oyt,7.2685275,7.24,CASF2016
233,3gnw,8.302626,9.1,CASF2016
234,4j21,7.3804865,7.41,CASF2016
235,1vso,4.687476,4.72,CASF2016
236,4pcs,6.2135277,7.85,CASF2016
237,3zsx,4.560773,3.28,CASF2016
238,4jsz,5.807356,2.3,CASF2016
239,1nvq,9.0026455,8.25,CASF2016
240,1bzc,6.1746545,4.92,CASF2016
241,4de2,6.291857,4.12,CASF2016
242,4gid,9.201919,10.77,CASF2016
243,3uev,4.9576063,5.89,CASF2016
244,2fvd,6.919269,8.52,CASF2016
245,4gkm,5.7382035,5.17,CASF2016
246,3k5v,6.518862,6.3,CASF2016
247,3ebp,6.114606,5.91,CASF2016
248,3gbb,6.0790377,6.9,CASF2016
249,2w66,5.639736,4.05,CASF2016
250,2fxs,6.9932213,6.06,CASF2016
251,3r88,4.561464,4.82,CASF2016
252,3rr4,5.794387,4.55,CASF2016
253,2vkm,8.104563,8.74,CASF2016
254,4agn,5.3341646,3.97,CASF2016
255,3kr8,7.388514,8.1,CASF2016
256,4qac,8.663493,9.4,CASF2016
257,4owm,4.6125216,2.96,CASF2016
258,3arq,6.7046022,6.4,CASF2016
259,2zb1,7.300722,6.32,CASF2016
260,3g2z,3.6482124,2.36,CASF2016
261,4hge,7.752995,7.92,CASF2016
262,4twp,7.1467047,10.0,CASF2016
263,2w4x,4.4882717,4.85,CASF2016
264,3wz8,6.2502437,5.82,CASF2016
265,3fv2,7.57679,8.11,CASF2016
266,1lpg,8.772054,7.09,CASF2016
267,3nw9,8.533373,9.0,CASF2016
268,4llx,3.945196,2.89,CASF2016
269,4eo8,7.961493,8.15,CASF2016
270,3nx7,8.989543,8.1,CASF2016
271,1y6r,11.462892,10.11,CASF2016
272,4ty7,8.45118,9.52,CASF2016
273,3b68,9.561346,8.4,CASF2016
274,2al5,7.0312057,8.4,CASF2016
275,2qe4,7.700512,7.96,CASF2016
276,4x6p,8.518644,8.3,CASF2016
277,2v00,4.1985273,3.66,CASF2016
278,3zt2,3.3037322,2.84,CASF2016
